42882856;42882856;42882856;42882856
42805920;42805920;42805920;42805920
42805919;42805919;42805919;42805919
42890060;42890060;42890060;42890060
42882855;42882855;42882855;42882855
42002085;42002085;42002085;42002085
42882854;42882854;42882854;42882854
42890059;42890059;42890059;42890059
42882853;42882853;42882853;42882853
42002086;42002086;42002086;42002086
42805918;42805918;42805918;42805918
42882852;42882852;42882852;42882852
42805917;42805917;42805917;42805917
42882851;42882851;42882851;42882851
42882850;42882850;42882850;42882850
42805916;42805916;42805916;42805916
42805915;42805915;42805915;42805915
42882849;42882849;42882849;42882849
42882848;42882848;42882848;42882848
42500124;42500124;42500124;42500124
42882847;42882847;42882847;42882847
42805914;42805914;42805914;42805914
42890058;42890058;42890058;42890058
42805913;42805913;42805913;42805913
42805912;42805912;42805912;42805912
42882846;42882846;42882846;42882846
42805911;42805911;42805911;42805911
42882845;42882845;42882845;42882845
42882844;42882844;42882844;42882844
42890057;42890057;42890057;42890057
42805910;42805910;42805910;42805910
42805909;42805909;42805909;42805909
42870010;42870010;42870010;42870010
42882843;42882843;42882843;42882843
42882842;42882842;42882842;42882842
42900132;42900132;42900132;42900132
42882841;42882841;42882841;42882841
42805908;42805908;42805908;42805908
42805907;42805907;42805907;42805907
42805906;42805906;42805906;42805906
42980069;42980069;42980069;42980069
42882840;42882840;42882840;42882840
42882839;42882839;42882839;42882839
42890056;42890056;42890056;42890056
42882838;42882838;42882838;42882838
42805905;42805905;42805905;42805905
42882837;42882837;42882837;42882837
42882836;42882836;42882836;42882836
42805904;42805904;42805904;42805904
42805903;42805903;42805903;42805903
42882835;42882835;42882835;42882835
42882834;42882834;42882834;42882834
42805902;42805902;42805902;42805902
42882833;42882833;42882833;42882833
42805901;42805901;42805901;42805901
42882832;42882832;42882832;42882832
42805900;42805900;42805900;42805900
42882831;42882831;42882831;42882831
42805899;42805899;42805899;42805899
42805898;42805898;42805898;42805898
42480017;42480017;42480017;42480017
42882830;42882830;42882830;42882830
42882829;42882829;42882829;42882829
42805896;42805896;42805896;42805896
42882828;42882828;42882828;42882828
42882827;42882827;42882827;42882827
42805895;42805895;42805895;42805895
42805894;42805894;42805894;42805894
42882826;42882826;42882826;42882826
42480016;42480016;42480016;42480016
42805893;42805893;42805893;42805893
42805892;42805892;42805892;42805892
42805891;42805891;42805891;42805891
42805890;42805890;42805890;42805890
42805889;42805889;42805889;42805889
42882825;42882825;42882825;42882825
42805885;42805885;42805885;42805885
42805888;42805888;42805888;42805888
42805887;42805887;42805887;42805887
42805886;42805886;42805886;42805886
42882824;42882824;42882824;42882824
42882823;42882823;42882823;42882823
42882822;42882822;42882822;42882822
42882821;42882821;42882821;42882821
42980068;42980068;42980068;42980068
42805884;42805884;42805884;42805884
42805883;42805883;42805883;42805883
42882820;42882820;42882820;42882820
42882819;42882819;42882819;42882819
42805882;42805882;42805882;42805882
42882817;42882817;42882817;42882817
42882818;42882818;42882818;42882818
42882816;42882816;42882816;42882816
42805881;42805881;42805881;42805881
42882815;42882815;42882815;42882815
42882814;42882814;42882814;42882814
42882813;42882813;42882813;42882813
42882812;42882812;42882812;42882812
42882809;42882809;42882809;42882809
42882811;42882811;42882811;42882811
42805880;42805880;42805880;42805880
100000413;100000413;100000413;100000413
42882810;42882810;42882810;42882810
42882808;42882808;42882808;42882808
42002084;42002084;42002084;42002084
42011745;42011745;42011745;42011745
42882807;42882807;42882807;42882807
1000003902;1000003902;1000003902;1000003902
